age	ageless
aim	aimless
armour	armourless
arm	armless
art	artless
beauty	beautyless
blame	blameless
blood	bloodless
body	bodyless
bone	boneless
bottom	bottomless
breath	breathless
care	careless
carbon	carbonless
cause	causeless
child	childless
class	classless
cloud	cloudless
collar	collarless
color	colorless
conscience	conscienceless
count	countless
death	deathless
defense	defenseless
design	designless
direction	directionless
dream	dreamless
edge	edgeless
effort	effortless
ego	egoless
emotion	emotionless
end	endless
energy	energyless
error	errorless
expression	expressionless
faith	faithless
fear	fearless
feeling	feelingless
form	formless
friend	friendless
friction	frictionless
gender	genderless
goal	goalless
god	godless
grace	graceless
guile	guileless
guilt	guiltless
hair	hairless
harm	harmless
heart	heartless
heat	heatless
heir	heirless
help	helpless
home	homeless
hope	hopeless
joy	joyless
law	lawless
leaf	leafless
leg	legless
life	lifeless
light	lightless
limit	limitless
logic	logicless
love	loveless
luck	luckless
meat	meatless
mind	mindless
mirth	mirthless
money	moneyless
motion	motionless
muscle	muscleless
name	nameless
odor	odorless
pain	painless
passion	passionless
path	pathless
penny	penniless
point	pointless
power	powerless
pride	prideless
reason	reasonless
remorse	remorseless
respect	respectless
ruth	ruthless
sensor	sensorless
sense	senseless
shadow	shadowless
shape	shapeless
shame	shameless
sight	sightless
sleeve	sleeveless
soul	soulless
sound	soundless
speech	speechless
spine	spineless
spot	spotless
stress	stressless
strength	strengthless
tact	tactless
talent	talentless
thought	thoughtless
tooth	toothless
value	valueless
window	windowless
wit	witless
