able	unable
acceptable	unacceptable
accounted	unaccounted
achievable	unachievable
affected	unaffected
aligned	unaligned
ambiguous	unambiguous
amused	unamused
announced	unannounced
appreciated	unappreciated
approved	unapproved
armed	unarmed
ashamed	unashamed
assisted	unassisted
attended	unattended
attractive	unattractive
authorized	unauthorized
available	unavailable
avoidable	unavoidable
aware	unaware
balanced	unbalanced
believable	unbelievable
biased	unbiased
breakable	unbreakable
cared	uncared
changed	unchanged
clear	unclear
comfortable	uncomfortable
common	uncommon
conditional	unconditional
connected	unconnected
conscious	unconscious
controlled	uncontrolled
conventional	unconventional
convincing	unconvincing
covered	uncovered
decided	undecided
defined	undefined
desirable	undesirable
detected	undetected
developed	undeveloped
documented	undocumented
dressed	undressed
employed	unemployed
expected	unexpected
explained	unexplained
fair	unfair
finished	unfinished
forgettable	unforgettable
fortunate	unfortunate
friendly	unfriendly
grateful	ungrateful
groomed	ungroomed
guarded	unguarded
guided	unguided
happy	unhappy
healthy	unhealthy
informed	uninformed
inspired	uninspired
interrupted	uninterrupted
involved	uninvolved
justified	unjustified
known	unknown
lawful	unlawful
limited	unlimited
lived	unlived
locked	unlocked
loved	unloved
lucky	unlucky
noticed	unnoticed
official	unofficial
organized	unorganized
paid	unpaid
planned	unplanned
pleasant	unpleasant
popular	unpopular
prepared	unprepared
predictable	unpredictable
protected	unprotected
published	unpublished
qualified	unqualified
realistic	unrealistic
reasonable	unreasonable
recognized	unrecognized
related	unrelated
reliable	unreliable
remembered	unremembered
resolved	unresolved
restricted	unrestricted
safe	unsafe
satisfactory	unsatisfactory
seen	unseen
spoken	unspoken
stable	unstable
specified	unspecified
successful	unsuccessful
suitable	unsuitable
sure	unsure
sustainable	unsustainable
used	unused
usual	unusual
veiled	unveiled
wanted	unwanted
willing	unwilling
worthy	unworthy
