abrupt	abruptly						
absolute	absolutely						
according	accordingly						
accurate	accurately						
active	actively						
actual	actually						
additional	additionally						
apparent	apparently						
appropriate	appropriately						
automatic	automatically						
basic	basically						
beautiful	beautifully						
brave	bravely						
brief	briefly						
calm	calmly						
careful	carefully						
casual	casually						
classic	classically						
clinical	clinically						
complete	completely						
constant	constantly						
creative	creatively						
critical	critically						
cultural	culturally						
curious	curiously
dead	deadly						
decided	decidedly						
different	differently						
digital	digitally						
dramatic	dramatically						
efficient	efficiently						
emotional	emotionally						
equal	equally						
essential	essentially						
eventual	eventually						
exact	exactly						
exponential	exponentially						
extensive	extensively						
famous	famously						
federal	federally	
financial	financially						
formal	formally						
frequent	frequently						
general	generally						
global	globally						
graceful	gracefully						
gradual	gradually						
great	greatly						
happy	happily						
honest	honestly						
historical	historically						
hopeful	hopefully						
huge	hugely						
immediate	immediately						
important	importantly						
increasing	increasingly						
individual	individually						
inevitable	inevitably						
initial	initially						
innocent	innocently						
insecure	insecurely						
instant	instantly						
interesting	interestingly						
internal	internally						
international	internationally						
legal	legally						
logical	logically						
loyal	loyally						
lucky	luckily						
massive	massively						
mental	mentally						
natural	naturally						
nice	nicely						
normal	normally						
obvious	obviously						
occasional	occasionally						
official	officially						
particular	particularly						
perfect	perfectly						
personal	personally						
physical	physically						
political	politically						
popular	popularly						
possible	possibly						
practical	practically						
previous	previously						
professional	professionally						
quick	quickly						
rare	rarely						
real	really						
regional	regionally						
safe	safely						
serious	seriously						
sexual	sexually						
significant	significantly						
similar	similarly						
slow	slowly						
strong	strongly						
subsequent	subsequently						
successful	successfully						
traditional	traditionally						
typical	typically						
unique	uniquely						
virtual	virtually						
visual	visually						
