abrupt	abruptness
accurate	accurateness
agile	agileness
alert	alertness
amazing	amazingness
angry	angriness
anxious	anxiousness
attractive	attractiveness
aware	awareness
bad	badness
beautiful	beautifulness
bold	boldness
brave	braveness
brief	briefness
bright	brightness
broken	brokenness
careful	carefulness
cheap	cheapness
clean	cleanliness
clear	clearness
cold	coldness
comfortable	comfortableness
competitive	competitiveness
complex	complexness
confident	confidentness
connected	connectedness
conscious	consciousness
cool	coolness
cooperative	cooperativeness
correct	correctness
creative	creativeness
dangerous	dangerousness
dark	darkness
dead	deadness
deaf	deafness
deep	deepness
dense	denseness
devoted	devotedness
different	differentness
difficult	difficultness
diligent	diligentness
directed	directedness
distinct	distinctness
distinctive	distinctiveness
dry	dryness
dull	dullness
eager	eagerness
easy	easiness
effective	effectiveness
efficient	efficientness
extensive	extensiveness
fair	fairness
faithful	faithfulness
false	falseness
fearful	fearfulness
firm	firmness
fixed	fixedness
flat	flatness
fond	fondness
foolish	foolishness
foreign	foreignness
forgiving	forgivingness
friendly	friendliness
fruitful	fruitfulness
funny	funniness
gentle	gentleness
good	goodness
graceful	gracefulness
greedy	greediness
happy	happiness
hard	hardness
harsh	harshness
healthy	healthiness
helpful	helpfulness
hidden	hiddenness
high	highness
honest	honestness
hopeful	hopefulness
hopeless	hopelessness
hot	hotness
huge	hugeness
humble	humbleness
hungry	hungriness
idle	idleness
ignorant	ignorantness
important	importantness
impressive	impressiveness
innocent	innocentness
innovative	innovativeness
interesting	interestingness
kind	kindness
lazy	laziness
light	lightness
lively	liveliness
lonely	loneliness
lucky	luckiness
mad	madness
marked	markedness
massive	massiveness
mean	meanness
merry	merriness
messy	messiness
neat	neatness
nice	niceness
obedient	obedientness
obvious	obviousness
odd	oddness
painful	painfulness
peaceful	peacefulness
perfect	perfectness
plain	plainness
polite	politeness
poor	poorness
powerful	powerfulness
prepared	preparedness
proud	proudness
pure	pureness
quick	quickness
quiet	quietness
random	randomness
rare	rareness
ready	readiness
reasonable	reasonableness
related	relatedness
righteous	righteousness
sacred	sacredness
sad	sadness
same	sameness
serious	seriousness
situated	situatedness
strange	strangeness
unique	uniqueness
useful	usefulness
vast	vastness
weak	weakness
