acquire	reacquire
adapt	readapt
address	readdress
adjust	readjust
admit	readmit
align	realign
analyze	reanalyze
appear	reappear
apply	reapply
appoint	reappoint
approve	reapprove
arrange	rearrange
assemble	reassemble
assess	reassess
assign	reassign
assure	reassure
attach	reattach
authorize	reauthorize
balance	rebalance
build	rebuild
calculate	recalculate
cast	recast
charge	recharge
claim	reclaim
cognize	recognize
combine	recombine
commend	recommend
compensate	recompensate
compose	recompose
configure	reconfigure
confirm	reconfirm
connect	reconnect
consider	reconsider
construct	reconstruct
contact	recontact
convert	reconvert
create	recreate
decorate	redecorate
deem	redeem
define	redefine
design	redesign
develop	redevelop
direct	redirect
discover	rediscover
distribute	redistribute
elect	reelect
emerge	reemerge
enact	reenact
encounter	reencounter
enforce	reenforce
engage	reengage
enroll	reenroll
enter	reenter
establish	reestablish
estimate	reestimate
evaluate	reevaluate
examine	reexamine
experience	reexperience
export	reexport
form	reform
freeze	refreeze
generate	regenerate
group	regroup
grow	regrow
hire	rehire
ignite	reignite
implement	reimplement
import	reimport
inspect	reinspect
install	reinstall
instate	reinstate
integrate	reintegrate
interpret	reinterpret
introduce	reintroduce
invest	reinvest
investigate	reinvestigate
join	rejoin
launch	relaunch
learn	relearn
load	reload
locate	relocate
marry	remarry
match	rematch
negotiate	renegotiate
occur	reoccur
open	reopen
organize	reorganize/reorganise
pack	repack
paint	repaint
plant	replant
print	reprint
publish	republish
send	resend
solve	resolve
submit	resubmit
tell	retell
unite	reunite
upload	reupload
write	rewrite
yield	reyield
