accept	acceptable
achieve	achieveable
act	actionable
adapt	adaptable
adjust	adjustable
admire	admirable
adore	adorable
advise	advisable
afford	affordable
allow	allowable
apply	applicable
appoint	appointable
assign	assignable
attach	attachable
avoid	avoidable
believe	believeable/believable
charge	chargeable
collect	collectable
combine	combinable
compare	comparable
consider	considerable
consume	consumable
contain	containable
correct	correctable
damage	damageable
define	definable
deliver	deliverable
describe	describable
discover	discoverable
dispose	disposable
download	downloadable
edit	editable
enjoy	enjoyable
excite	excitable
execute	executable
expand	expandable
expect	expectable
explain	explainable
extend	extendable
filter	filterable
fold	foldable
foresee	foreseeable
forgive	forgivable
handle	handleable
honor	honorable
identify	identifiable
imagine	imaginable
imitate	imitable
improve	improvable
inflate	inflatable
inspire	inspirable
learn	learnable
like	likable
locate	locatable
maintain	maintainable
manage	manageable
marry	marriageable
measure	measurable
move	moveable
notice	noticeable
observe	observable
pass	passable
perform	performable
permit	permittable
please	pleasurable
predict	predictable
prefer	preferable
prevent	preventable
protect	protectable
publish	publishable
question	questionable
reason	reasonable
recognize	recognizable/recognisable
recommend	recommendable
rely	reliable
renew	renewable
replace	replaceable
represent	representable
respond	respondable
save	saveable
solve	solvable
speak	speakable
stand	standable
start	startable
stay	stayable
stop	stoppable
study	studiable/studyable
suggest	suggestable
support	supportable
survive	survivable
sustain	sustainable
talk	talkable
teach	teachable
think	thinkable
try	tryable
understand	understandable
use	usable
vary	variable
walk	walkable
want	wantable
work	workable
write	writeable/writable
