accuse	accusation
adapt	adaptation
admire	admiration
allege	allegation
allocate	allocation
alter	alteration
amplify	amplification
annotate	annotation
appreciate	appreciation
approve	approval
arbitrate	arbitration
articulate	articulation
aspire	aspiration
authorize	authorization/authorisation
calculate	calculation
celebrate	celebration
characterize	characterization/characterisation
circulate	circulation
civilize	civilization/civilisation
collaborate	collaboration
colonize	colonization
communicate	communication
compensate	compensation
compile	compilation
compute	computation
concentrate	concentration
condense	condensation
configure	configuration
confiscate	confiscation
congratulate	congratulation
consolidate	consolidation
constitute	constitution
consult	consulation
consult	consultation
contaminate	contamination
contemplate	contemplation
continue	continuation
coordinate	coordination
customize	customization
declare	declaration
decorate	decoration
dedicate	dedication
degrade	degradation
delegate	delegation
demonstrate	demonstration
denote	denotation
depreciate	depreciation
deprive	deprivation
derive	derivation
determine	determination
dictate	dictation
differentiate	differentiation
discriminate	discrimination
dominate	domination
elaborate	elaboration
eliminate	elimination
emigrate	emigration
encapsulate	encapsulation
enunciate	enunciation
evaluate	evaluation
examine	examination
excavate	excavation
exfoliate	exfoliation
expire	expiration
explore	exploration
fluctuate	fluctuation
formulate	formulation
generate	generation
globalize	globalization/globalisation
hesitate	hesitation
illuminate	illumination
illumine	illumination
illustrate	illustration
imagine	imagination
immigrate	immigration
immunize	immunization
improvize	improvization/improvisation
indicate	indication
initiate	initiation
insinuate	insinuation
inspire	inspiration
install	installation/instalation
integrate	integration
intimidate	intimidation
intricate	intrication
investigate	investigation
irrigate	irrigation
legislate	legislation
manipulate	manipulation
maximize	maximization/maximisation
meditate	meditation
minimize	minimization/minimisation
modernize	modernization/modernisation
motivate	motivation
navigate	navigation
negotiate	negotiation
oblige	obligation
obliterate	obliteration
observe	observation
occupy	occupation
optimize	optimization/optimisation
orchestrate	orchestration
organize	organization
penetrate	penetration
perpetuate	perpetuation
perspire	perspiration
populate	population
precipitate	precipitation
prepare	preparation
privatize	privatization/privatisation
procrastinate	procrastination
proliferate	proliferation
radiate	radiation
randomize	randomization/randomisation
realize	realization/realisation
regulate	regulation
reorganize	reorganization/reorganisation
restore	restoration
resuscitate	resuscitation
specialize	specialization/specialisation
stabilize	stabilization
standardize	standardization/standardisation
starve	starvation
stipulate	stipulation
substantiate	substantiation
terminate	termination
utilize	utilization/utilisation
visualize	visualization
