abuja	nigeria
algiers	algeria
amman	jordan
andorra la vella	andorra
ankara	turkey
antananarivo	madagascar
apia	samoa
ashgabat	turkmenistan
asmara	eritrea
athens	greece
baghdad	iraq
baku	azerbaijan
bamako	mali
bangkok	thailand
basse-terre	guadeloupe
basseterre	saint kitts and nevis
beijing	china
beirut	lebanon
belgrade	serbia
belmopan	belize
berlin	germany
bern	switzerland
bissau	guinea-bissau
bloemfontein	south africa
brasilia	brazil
brussels	belgium
bucharest	romania
budapest	hungary
cairo	egypt
canberra	australia
cape town	south africa
cayenne	french guiana
conakry	guinea
concord	new hampshire
copenhagen	denmark
damascus	syria
dhaka	bangladesh
dili	east timor
djibouti	djibouti
dodoma	tanzania
doha	qatar
dublin	ireland
funafuti	tuvalu
georgetown	guyana
gitega	burundi
guatemala city	guatemala
hanoi	vietnam
hargeisa	somaliland
havana	cuba
helsinki	finland
islamabad	pakistan
jakarta	indonesia
jerusalem	israel
juba	south sudan
kabul	afghanistan
kathmandu	nepal
khartoum	sudan
kiev	ukraine
kigali	rwanda
kingston	jamaica
kinshasa	democratic republic of the congo
kuwait city	kuwait
la paz	bolivia
libreville	gabon
lilongwe	malawi
lima	peru
lisbon	portugal
lobamba	eswatini
lome	togo
london	england/uk/britain
luanda	angola
lusaka	zambia
madrid	spain
malabo	equatorial guinea
male	maldives
manila	philippines
maputo	mozambique
maseru	lesotho
mbabane	eswatini
mexico city	mexico
minsk	belarus
mogadishu	somalia
monrovia	liberia
montevideo	uruguay
moroni	comoros
moscow	russia
nairobi	kenya
oslo	norway
ottawa	canada
paris	france
pretoria	south africa
rome	italy
santiago	chile
sofia	bulgaria
stockholm	sweden
sucre	bolivia
taipei	taiwan
tbilisi	georgia
tehran	iran
tokyo	japan
vienna	austria
warsaw	poland
zagreb	croatia
