afghanistan	pashto/dari
albania	albanian
algeria	arabic/berber/tamazight 
andorra	catalan
angola	portuguese
argentina	spanish
armenia	armenian
australia	english
austria	german
azerbaijan	azerbaijani/azeri
bahamas	english
bangladesh	bengali/bangla
barbados	english
belarus	belarusian/russian
belize	english
benin	french
bhutan	dzongkha
bolivia	spanish
bosnia and herzegovina	bosnian/croatian/serbian
botswana	english/setswana
brazil	portuguese
brunei	malay
burkina faso	mooré/bissa/dyula/fula
burundi	kirundi/french/english
cambodia	khmer
canada	english/french
cape verde	portuguese
central african republic	french/sango
chad	french/arabic
chile	spanish
colombia	spanish
comoros	comorian/french/arabic
cook islands	english/maori
croatia	croatian
cuba	spanish
cyprus	greek/turkish
czech republic	czech
denmark	danish/faroese/greenlandic/german
dominican republic	spanish
ecuador	spanish/quechua
egypt	arabic
eritrea	tigrinya/arabic/english/tigre/kunama/bilen/nara/saho/afar/beja
estonia	estonian
ethiopia	amharic
fiji	english
gabon	french
georgia	georgian
ghana	english/fante/akuapem twi/asante twi/ewe/dagaare/dagbani/adangme/ga/gonja/kasem/nzema
greece	greek
greenland	greenlandic
greenland	french
guadeloupe	french
guam	english/chamorro
guatemala	spanish
guinea–bissau	portuguese
guyana	english
haiti	creole/french
haiti	haitian creole/french
honduras	spanish
hungary	hungarian
iceland	icelandic
india	hindi/malayalam/tamil/telugu/kannada/english/urdu/odia/marathi/bengali
indonesia	indonesian
iran	persian
iraq	arabic/kurdish
ireland	english/irish/gaelic
israel	hebrew/arabic
italy	italian
ivory coast	french
jamaica	english/creole
jamaica	english/ jamaican creole/jamaican patois
japan	japanese
jordan	arabic
kazakhstan	kazak/qazaq/russian
kenya	english/swahili/kikuyu/luhya
kiribati	gilbertese/kiribatese
kosovo	albanian/serbian
kuwait	arabic
laos	lao
latvia	latvian
lebanon	arabic
lesotho	english/sesotho/isiXhosa/siPhuthi
liberia	english/liberian english
libya	arabic/libyan arabic
lithuania	lithuanian
luxembourg	luxembourgish/french/german
mexico	spanish/nahuatl
moldova	moldovan/romanian
morocco	berber/arabic
mozambique	portuguese
netherlands	dutch/frisian
nicaragua	spanish
norway	norwegian/bokmål/bokmal/nynorsk
palestine	arabic
peru	spanish
philippines	tagalog/filipino
russia	russian
san marino	italian
switzerland	german/french/italian
syria	arabic
taiwan	chinese
tunisia	arabic
ukraine	ukrainian
usa	english
venezuela	spanish
