aberdeen	aberdeenshire
alnwick	northumberland
amersham	buckinghamshire
andover	hampshire
ashford	kent
aylesbury	buckinghamshire
banbury	oxfordshire
barrow-in-furness	cumbria
basildon	essex
basingstoke	hampshire
bath	somerset
bedford	bedfordshire
belfast	antrim
bexhill	east sussex
bicester	oxfordshire
birmingham	midlands
bishop's stortford	hertfordshire
boston	lincolnshire
bradford	yorkshire
bridgwater	somerset
brighton	sussex
burnley	lancashire
bury	greater manchester
cambridge	cambridgeshire
canterbury	kent
cardiff	glamorgan
carlisle	cumbria
chelmsford	essex
cheltenham	gloucestershire
chester	cheshire
chesterfield	derbyshire
chichester	sussex
chippenham	wiltshire
clacton-on-sea	essex
colchester	essex
coventry	midlands
crawley	sussex
dagenham	greater london
darlington	durham
dartford	kent
derby	derbyshire
dewsbury	west yorkshire
dover	kent
dudley	west midlands
dundee	lowlands
eastbourne	east sussex
edinburgh	lowlands
ely	cambridgeshire
exeter	devon
falkirk	stirlingshire
folkestone	kent
gateshead	tyne and wear
glasgow	lowlands
gloucester	gloucestershire
grimsby	lincolnshire
guildford	surrey
harlow	essex
hartlepool	durham
hastings	sussex
hempstead	hertfordshire
hereford	herefordshire
hinckley	leicestershire
horsham	west sussex
hull	yorkshire
inverness	highlands
keighley	west yorkshire
kilmarnock	ayrshire
kirkcaldy	fife
lancaster	lancashire
leeds	yorkshire
leicester	midlands
lincoln	lincolnshire
liverpool	lancashire
loughborough	leicestershire
lowestoft	suffolk
maidstone	kent
mansfield	nottinghamshire
motherwell	north lanarkshire
newcastle	northumberland
newport	gwent
northampton	northamptonshire
norwich	norfolk
nottingham	nottinghamshire
oxford	oxfordshire
peterborough	cambridgeshire
plymouth	devon
portsmouth	hampshire
preston	lancashire
reading	berkshire
salford	manchester
salisbury	wiltshire
sheffield	yorkshire
southampton	hampshire
stirling	stirlingshire
stockport	greater manchester
swansea	glamorgan
trowbridge	wiltshire
wakefield	yorkshire
warrington	cheshire
wells	somerset
winchester	hampshire
wolverhampton	midlands
worcester	worcestershire
york	yorkshire
