achebe	nigerian
allende	chilean
aristotle	greek
armstrong	american
ataturk	turkish
avicenna	persian
balzac	french
bandaranaike	sri lankan
battuta	moroccan
beethoven	german
benz	german
bhutto	pakistani
biko	south african
caesar	roman
ceausescu	romanian
chavez	mexican/american
confucius	chinese
copernicus	polish
darwin	english/british
davinci	italian
degaulle	french
depp	american
descartes	french
dickens	english/british
dostoyevsky	russian
edison	american
einstein	jewish/german/american
emerson	american
euclid	greek
fermi	italian
freud	austrian
galilei	italian
gandhi	indian
ghazali	iranian
gorbachev	soviet/russian
greer	australian
hawking	english/british
hegel	german
hitler	german/austrian
hochiminh	vietnamese
homer	greek
hume	scottish/british
jinnah	pakistani
jolie	american
kahlo	mexican
kant	german
kepler	german
khanna	indian
lavoisier	french
leibniz	german
lenin	soviet/russian
lennon	english/british
lincoln	american
locke	english/british
louverture	haitian
lumumba	congolese
maathai	kenyan
machiavelli	italian
malala	pakistani
mandela	south african
marquez	colombian
marx	german
maxwell	scottish/british
menchu	guatemalan
mencius	chinese
michelangelo	italian
mirzakhani	iranian
mishima	japanese
mozart	german/austrian
murasaki	japanese
napoleon	french/corsican/italian
nehru	indian
neruda	chilean
newton	english/british
pascal	french
plato	greek
pushkin	russian
raphael	italian
rizal	filipino
rousseau	french
sabry	egyptian
sarabhai	indian
schweitzer	alsatian
selassie	ethiopian
senna	brazilian
shevchenko	ukrainian
spinoza	dutch
stalin	soviet/georgian
strauss	austrian
sukarno	indonesian
sunyatsen	chinese
tchaikovsky	russian
tolstoi	russian
trotsky	russian
truman	american
tunku	malaysian
wagner	german
wojtyla	polish
wu	chinese
zapata	mexican
