achebe	novelist/poet/professor
ali 	boxer/activist/philanthropist
ambedkar	jurist/economist/politician/reformer
andersen	writer/poet/author
anouilh	playwright
aristotle	philosopher
armstrong	astronaut/engineer/professor
ataturk	statesman/reformer/soldier
avicenna	philosopher/physician
bach	composer/musician
balzac	novelist/writer
banerjee	educator/leader/reformer/politician/
beethoven	composer
berners-lee	computer scientist/engineer/inventor
bhutto	politician/stateswoman/leader/minister
bohr	physicist/scientist/professor
bolivar	revolutionary/leader/statesman/soldier
caesar	emperor/commander/leader
camus	philosopher/novelist/journalist/activist
carver	botanist/inventor/scientist
chekhov	writer/playwright/physician
chopin	composer/pianist
churchill	politician/statesman/minister/writer
coleridge	poet/philosopher/critic
columbus	explorer
confucius	philosopher
copernicus	astronomer/mathematician
curie	physicist/chemist/scientist
dante	poet
darwin	naturalist/biologist/geologist
degas	painter/sculptor/printmaker
depp	actor/producer/musician
descartes	mathematician/philosopher
dickens	novelist/writer/critic/author
dubois	sociologist/historian/writer/activist
dumas	novelist/playwright
edison	inventor/businessman
einstein	physicist/scientist
emerson	philosopher/essayist/poet/lecturer
epictetus	philosopher/teacher
euler	mathematician/physicist/astronomer/logician/engineer
fibonacci	mathematician
flaubert	novelist/writer
fleming	microbiologist/physician/discoverer
franklin	scientist/inventor/diplomat/writer
freud	neurologist/psychoanalyst
galileo	astronomer/physicist/inventor/engineer
gandhi	lawyer/activist/politician
gibran	poet/artist/writer
goethe	poet/playwright/novelist/writer/author
greer	writer/feminist
guevara	revolutionary/physician/diplomat
gutenberg	craftsman/inventor/blacksmith
hawking	physicist/scientist
haydn	composer
hegel	philosopher
hemingway	novelist/journalist/short-story writer
hepburn	actress
heraclitus	philosopher
hesse	writer/novelist/poet
hitler	dictator/politician/nazi
hubble	astronomer/cosmologist
hume	philosopher/politician
hypatia	mathematician/philosopher/astronomer
ibn khaldun	historian/sociologist/philosopher
ives	composer/actuary/businessman
jobs	entrepreneur/inventor/businessman
jolie	actress/filmmaker/director/humanitarian/activist
jung	psychologist/psychiatrist
kafka	novelist/writer
kalam	scientist/engineer/president
kant	philosopher
kantor	playwright/director
kepler	mathematician/physicist/astronomer/astrologer
khomeini	cleric/politician/revolutionary
kierkegaard	philosopher/theologian/poet/critic
klein	mathematician/professor
lamarr	actress/inventor
lincoln	president
locke	philosopher
luther	theologian/reformer/clergyman
mandela	president/activist/lawyer
marx	philosopher/communist
matisse	painter/printmaker/sculptor/draughtsman
maxwell	physicist/scientist
mencius	philosopher
michelangelo	sculptor/painter/architect/artist/poet/engineer
miyazaki	animator/director/filmmaker
moses	prophet/leader
mozart	composer
muhammad	prophet/leader/merchant
napoleon	emperor/leader/politician/commander
newton	scientist/mathematician/psysicist/philosopher
pacino	actor/director/filmmaker
pascal	mathematician/philosopher
picasso	painter/artist/sculptor/designer
plato	philosopher
raphael	painter/artist/architect
rembrandt	painter/etcher/artist
rousseau	writer/author/philosopher
schwarzenegger	actor/politician/governor
shakespeare	playwright/poet
spinoza	philosopher
stalin	dictator/politician/leader/statesman
strauss	composer
tolstoi	novelist/writer/philosopher
truman	president
wagner	composer
wittgenstein	philosopher
