alligator	hatchling
alpaca	cria
ant	larva
antelope	calf
ape	baby/infant
armadillo	pup
auk	chick
auklet	chick
baboon	infant
badger	kit/cob
badger	cub
barnacle	larva/nauplius/cyprid
bat	pup
bear	cub
beaver	kit/kitten
bee	larva
bee	larva/brood
beetle	larva
bird	hatchling/chick
bison	calf
boar	piglet
buffalo	calf
butterfly	larva/pupa/caterpillar/chrysalis
camel	calf/colt
cat	kitten
cattle	calf/heifer
cheetah	cub
chicken 	chick
chimpanzee	baby/infant
cicada	nymph
clam	larva
cockroach	nymph
codfish	codling/sprag/sprat
crane	chick
cricket	larva
crow	chick
deer	fawn
dinosaur	hatchling/juvenile
dog	puppy/pup/whelp
dolphin	pup/calf
donkey	colt/foal
dove	squab/chick
duck	duckling
eagle	fledgling/eaglet
eel	swarm
elephant	calf
elk	calf
emu	chick/hatchling
falcon	chick
ferret	kit
fish	fingerling/spawn/egg/larva/fry/minnmow
flamingo	chick
fly	grub/maggot
fox	cub/pup/puppy/whelp
gerbil	pup
giraffe	calf
gnu	calf
goat	kid
goldfish	fingerling/fry
goose	gosling
gorilla	infant
grasshopper	nymph
guinea pig	pup
gull	chick
hamster	pup
hare	leveret
hawk	eyas
hegdehog	piglet/pup
herring	fingerling/fry
hippopotamus	calf
horse	foal/colt/filly
hound	pup
human	baby/infant/toddler
insect	larva
jellyfish	ephyna
kangaroo	joey
koala	joey
leopard	cub
lion	cub
mallard	duckling
mink	kit/cub
monkey	infant
muskrat	kit
ostrich	chick
owl	owlet, fledgling
ox	calf/stot
panda	cub
pig	piglet/shoat/farrow
rabbit	bunny
raccoon	kit/cub
salmon	smolt
seal	pup
shark	cub/pup
sheep	lamb/lambkin/cosset
skunk	kit/kitten
snake	hatchling/nestling
tiger	cub
trout	fingerling
weasel	kit
whale	calf
wolf	cub/pup/puppy/whelp
woodchuck	kit/cob
