aardvark	bark/grunt
alligator	bellow/hiss
alpaca	bray
ape	moo
armadillo	grunt
badger	growl
bat	screech
bear	growl
beaver	growl/grunt/slap
bee	buzz/hum
bee	hum/buzz
beetle	drone
beetle	drone/buzz
birds	chirrup/chirp/twitter/sing/whistle
bittern	growl/boom
buffalo	grunt/groan/bellow
calves	bleat
camel	grunt/groan/bellow
cat	meow/meu/purr/caterwaul
cattle	moo/bellow/low
cheetah	bleat/chirp
chicken	cluck/crow/cock-a-doodle-doo
chicken	chuck/cluck
chicks	cheep
chimpanzee	scream
cicada	buzz
cockroach	hiss
cocks	crow
cows	low/moo
coyote	howl
coyote	bell/troat
crane	roar/growl/bellow/bray
cricket	chirp
crocodile	bellow/hiss
crow	caw
deer	bellow
dog	bark/growl/howl/yelp/whine/arf/bow_wow/woof
dolphins	click/whistle/chirp
donkey	bray/hee-haw
duck	quack
eagle	screech/cry/whistle
elephant	trumpet
elk	bellow
ferret	dook
fish	blub/glug/swish
fly	buzz
fly	buzz/hum/drone
fox	howl/yelp
frog	ribbit/croak
giraffe	bleat/hiss/grunt
goat	bleat
gorilla	grunt/scream
grasshopper	chirp/trill/click
guinea pig	squeak/wheek
hamster	squeak/chirp/grunt
hare	snort
hawk	screech/cry/
hogs	oink/grunt/squeal
hornet	buzz
horse	neigh/snort/whinny
hound	bark/howl/bay
hyena	laugh
jackals	howl
kangaroo	chatter/grunt/cluck
koalas	scream/bellow/wail
lambs	bleat/baa/cry
lark 	sing/trill/warble
leopard	growl
lion	roar/growl
magpie	chatter
mallard	quack
mice	squeak/squeal
monkey	chatter/gibber/howl/scream
moose	bellow
mosquitoes	buzz/whine/hum
mouse	squeak
mule	bray/hee-haw
nightingale	pipe/sing/warble
ostriches	chirp/bark/lowhum
owl	hoot/screech/whistle
oxen	low/grunt/bellow
panda	bleat/huff-quack/whistle
parrots	talk/screech/squawk
peacocks	scream/call/cry
pig	oink/grunt/gruff/squeal
pigeon	coo
pigeon	coo/call/murmur
pigs	snort/grunt/squeal/oink
porpoise	chitter
rat	squeak
raven	caw
rooster	crow
seal	bark
sheep	baa/bleat
snake	hiss
songbird	chirrup/chirp/tweet/sing/warble/twitter
tiger	growl/roar
toad	ribbit/croak
turkey	gobble
wasp	buzz
whale	sing
wolf	howl
