aardvark	burrow/den
alligator	nest
anaconda	swamps/marshes/slow-movingstreams
ant	anthill/insectarium/terrarium/formicarium
antelope	forests/savannas/wetlands/deserts
ape	grove/tree/cage
armadillo	burrow
baboon	grove/tree/cage
badger	sett
bat	cave/cage
bear	den/cage
beaver	dam/river/pen
bee	hive
bird	nest
buffalo	shed
buffalo	barn/byre
cattle	barn/coral
cheetah	den
chimpanzee	grove/tree/cage
chimpanzee	nest
chinchilla	nest/cage
cockroach	nest
coelacanth	caves/crevices
cow	barn/stable/cowshed
coyote	den/oldburrow
crab	burrow
cricket	nest
crocodile	river/lake/pool
crocodile	burrow/den
crow	nest/cage
dhole	den/cave
dog	doghouse/home/den/kennel
dolphin	sea/sanctuary
donkey	shed/stable/barn
donkey 	shed/stable
duck	pond/nest
echidna	burrow
elephant	forest/shed
ferret	den/burrow
fish	sea/lake/river/acquarium/farm/sanctuary
fly	nest
fox	den/cage
frog	pond/leaf-litter/burrow
frog	marsh/burrow/pond
goat	pen/shed/yard
goldfish	pond/bowl/aquarium/sanctuary
gorilla	grove/tree/cage
hamster	nest/cage
hedgehog	nest/hedge/pen
hen	coop/poultryhouse
herring	sea/sanctuary
hippopotamus	river/lake/pen
honeybee	beehive
hornet	nest
horse	stable/range/paddock/corral
hyena	den/burrow
iguana	trees/canopy
impala	grassland/woodland
insect	nest/cage/box
jackal	savannas/grasslands/woodlands
jaguar	den
koala	eucalyptus tree
lemur	tree
lion	den/cage/savannah
locust	nest
mallard	nest/pond
mole	hole/nest
mole	burrow/tunnel
mole	burrow/fortress/tunnel
mongoose	den/burrow
monkey	tree/grove/cage
monkey	treehouse
mouse	nest/cage
orangutan	nest
owl 	cavity
parrot 	nest
peacock 	nest
penguin	nest/burrow
pig	sty/pigsty/pen/pigpen
platypus	burrow
rabbit	burrow/warren/hutch/cage
rat	nest/cage
rattlesnake	dens/ burrows/rock crevices
raven	nest/cage
salmon	river/ocean
scorpion	nest/aquarium/terrarium
seal	den/aquarium/sea
sheep 	pen
snake	nest/pit/acquarium
spider	web/acquarium/terrarium
spider	web
squirrel	nest/drey/tree-cavity
termite	hill/terrarium
tiger	den/cage
trout	river/lake/sanctuary/aquarium/pond/tank
turkey	nest/coop
wasp	nest
whale	sea/sanctuary
wolf	den/cage
woodchuck	hole
