almond	beige/brown
amethyst	purple/violet
anchovy	silver/grey
ant	black/brown/red
apple	red/orange/yellow/golden
asparagus	green/purple/white
avocado	green/black/brown
banana	yellow/green
beet	red/purple/golden
bellpepper	red/yellow/green/orange/purple
blackberry	black/darkpurple
blackboard	black/green
blood	red
bluebell	blue/violet
blueberry	blue/black
broccoli	green
bruise	blue/purple
butter	yellow/golden
cabbage	green
candleflame	yellow/orange/blue
cantaloupe	orange/green/beige
carrot	orange/red/yellow
cassava	white/yellow
cauliflower	white/green/yellow/yellowish
celery	green/white/brown
cherry	red/yellow/black
chilipepper	red/green/yellow/orange
chocolate	white/brown/black
cinnamon	brown/reddishbrown
citrus	orange/yellow/green
cloud	white/gray/grey
coal	black
coffee	black/brown
copper	reddish brown
coral	pink/orange/red
cranberry	red/purple/pink
cream	white
crow	black
cucumber	green
cucumberflower	yellow/white
cumuluscloud	white/grey
daisy	white/yellow/pink
eggplant	purple/violet
elderberry	darkpurple/black/blue
emerald	green
fig	purple/brown/green
fire	red/orange/yellow/blue
flamingo	pink/white/red
fridge	white/silver/black
frog	green/brown/grey/gray
grapefruit	pink/red/yellow
grapes	black/red/green/purple
grass	green
hazelnut	brown
ice	clear/white
iris	blue/purple/yellow/white
jackfruit	green/yellow/orange
kiwi	brown/green
lava	red/orange/black
leaves	green/red/yellow
lemon	yellow/green
lily	white/pink/yellow/orange
lobster	blue/green/red
mango	yellow/orange/red/green
mapleleaf	red/orange/yellow/green
milk	white
mustard	yellow/brown
olive	green/black
onion	white/yellow/red/purple
orange	orange/green/yellow
paper	white/color
parsley	green
peach	peach/pink/yellow/red
pear	green/yellow/red
peony	red/white/pink/purple
pepper	black/red/green/yellow/orange
pineapple	yellow/green
plum	purple/red/blue
potato	brown
pumpkin	orange/green/yellow
radish	red/pink/white/green/black
raven	black
rose	red/yellow/pink/white/blue
ruby	red
salmon	pink/orange
salt	white
sapphire	blue
sea	blue/green/gray/grey
shamrock	green/palegreen
sky	blue/gray/grey
snow	white
soil	black/brown/dark
spinach	green
strawberry	red/pink
sugar	white/brown
sun	yellow/gold
sunflower	yellow/orange
swan	white/black/gray/grey
tangerine	orange/red/yellow
tea	black/green/white/red/brown/yellow
tomato	red
toothpaste	white
turquoise	blue/green
walnut	brown/darkbrown
watermelon	green/pink/red
wheat	tan/yellow/golden
yoghurt	white/pink
zucchini	green/yellow
