abbot	abbess
actor	actress
actorors	actresses
bachelor	spinster
bachelor	bachelorotte
baron	baroness
batman	batwoman
billy	nanny
billy	jill
boar	sow
boy	girl
boyfriend	girlfriend
boys	girls
bridegroom	bride
brother	sister
brothers	sisters
buck	doe
buck	cow
bull	cow
bullfrog	frog
businessman	businesswoman
chairman	chairwoman
chap	chapess
cock	hen
colt	filly
count	countess
czar	czarina
dad	mom/mum
daddy	mommy/mother/mom
dog	bitch
dogs	bitches
drake	duck
drone	queen
duke	duchess
emperor	empress
father	mother
father-in-law	mother-in-law
fisherman	fisherwoman
fox	vixen
gander	goose
gentleman	lady/gentlewoman/madam
gentleman	lady
gentlemen	ladies
god	goddess
godfather	godmother
godson	goddaughter
grandfather	grandmother
grandpa	grandma
grandson	granddaughter
groom	bride
hart	hind
headmaster	headmistress
heir	heiress
heirs	heiresses
hero	heroine
horse	mare
host	hostess
hound	bitch
husband	wife
jack	jenny
jack	jill
king	queen
kingpin	queenpin
lad	lass
landlord	landlady
lion	lioness
lord	lady
male	female
man	woman
manager	manageress
manservant	maidservant
men	women
mister	miss/missis/missus/mis'ess/mrs/ms/madam
monk	nun
monks	nuns
murderer	murderess
nephew	niece
ox	cow
patriarch	matriarch
patricide	matricide
peacock	peahen
poet	poetess
policeman	policewoman
prince	princess
ram	ewe
rooster	hen
sculptor	sculptress
shepherd	shepherdess
sir	madam
sir	dame
son	daughter
sons	daughters
stag	hind
stallion	mare
stepbrother	stepsister
stepfather	stepmother
stepson	stepdaughter
stepuncle	stepaunt
superman	superwoman
tiger	tigress
tom	queen
tom	hen
tomcat	queen
uncle	aunt
valet	maid/maidservant/housemaid/chambermaid/handmaid/handmaiden/parlormaid/parlourmaid
waiter	waitress
webmaster	webmistress
wizard	witch
wizards	witches
