album	albums
animal	animals
apple	apples
application	applications
area	areas
bottle	bottles
book	books
car	cars
cat	cats
chair	chairs
college	colleges
computer	computers
council	councils
customer	customers
day	days
death	deaths
department	departments
desk	desks
development	developments
difference	differences
director	directors
doctor	doctors
door	doors
egg	eggs
engineer	engineers
event	events
example	examples
fact	facts
file	files
flower	flowers
friend	friends
game	games
girl	girls
god	gods
government	governments
group	groups
hat	hats
hour	hours
house	houses
idea	ideas
image	images
job	jobs
key	keys
kid	kids
language	languages
law	laws
letter	letters
machine	machines
manager	managers
market	markets
member	members
meeting	meetings
message	messages
month	months
movie	movies
name	names
night	nights
note	notes
office	offices
page	pages
painting	paintings
parent	parents
pen	pens
phone	phones
photo	photos
plan	plans
player	players
plant	plants
population	populations
problem	problems
product	products
project	projects
report	reports
resource	resources
result	results
river	rivers
road	roads
role	roles
room	rooms
school	schools
science	sciences
shop	shops
solution	solutions
song	songs
street	streets
student	students
system	systems
table	tables
teacher	teachers
test	tests
thing	things
town	towns
train	trains
user	users
version	versions
village	villages
website	websites
week	weeks
window	windows
year	years
