angry	angrier
bitter	bitterer
bland	blander
brave	braver
bright	brighter
broad	broader
calm	calmer
cheap	cheaper
clever	cleverer
coarse	coarser
cold	colder
cool	cooler
costly	costlier
cruel	crueler
cute	cuter
dark	darker
dense	denser
deep	deeper
dumb	dumber
easy	easier
fast	faster
fierce	fiercer
fine	finer
flat	flatter
free	freer
full	fuller
glad	gladder
good	better
great	greater
gross	grosser
handy	handier
happy	happier
hardy	hardier
harsh	harsher
healthy	healthier
heavy	heavier
high	higher
hollow	hollower
hot	hotter
huge	huger
hungry	hungrier
kind	kinder
lazy	lazier
large	larger
late	later
lengthy	lengthier
light	lighter
long	longer
low	lower
lucky	luckier
mad	madder
merry	merrier
mean	meaner
mild	milder
moist	moister
nasty	nastier
neat	neater
nice	nicer
noisy	noisier
old	older
pale	paler
plain	plainer
proud	prouder
pure	purer
quick	quicker
quiet	quieter
rapid	rapider
rare	rarer
real	realer
risky	riskier
rocky	rockier
rough	rougher
rude	ruder
sad	sadder
scary	scarier
sexy	sexier
sharp	sharper
shy	shyer
simple	simpler
slow	slower
soft	softer
sour	sourer
sticky	stickier
steep	steeper
stiff	stiffer
strict	stricter
strong	stronger
subtle	subtler
sunny	sunnier
sweet	sweeter
tall	taller
tasty	tastier
thick	thicker
thin	thinner
tight	tighter
tiny	tinier
tired	tireder
true	truer
tricky	trickier
ugly	uglier
vague	vaguer
vast	vaster
weak	weaker
wealthy	wealthier
weird	weirder
wide	wider
wild	wilder
wise	wiser
