able	ablest
angry	angriest
bitter	bitterest
bland	blandest
brave	bravest
bright	brightest
broad	broadest
calm	calmest
cheap	cheapest
clear	clearest
clever	cleverest
cold	coldest
cool	coolest
coarse	coarsest
costly	costliest
cruel	cruelest
cute	cutest
dark	darkest
dense	densest
deep	deepest
dumb	dumbest
easy	easiest
fair	fairest
fast	fastest
fierce	fiercest
fine	finest
flat	flattest
fresh	freshest
full	fullest
glad	gladdest
grand	grandest
great	greatest
gross	grossest
handy	handiest
happy	happiest
hardy	hardiest
harsh	harshest
healthy	healthiest
heavy	heaviest
high	highest
hollow	hollowest
hot	hottest
huge	hugest
hungry	hungriest
kind	kindest
large	largest
lazy	laziest
late	latest
lengthy	lengthiest
light	lightest
long	longest
low	lowest
lucky	luckiest
mad	maddest
merry	merriest
mean	meanest
mild	mildest
nasty	nastiest
neat	neatest
nice	nicest
new	newest
noisy	noisiest
old	oldest
pale	palest
plain	plainest
polite	politest
proud	proudest
pure	purest
quick	quickest
quiet	quietest
rare	rarest
real	realest
rich	richest
risky	riskiest
rough	roughest
rude	rudest
sad	saddest
safe	safest
scary	scariest
sexy	sexiest
sharp	sharpest
shiny	shiniest
shy	shyest
simple	simplest
slow	slowest
soft	softest
sticky	stickiest
strange	strangest
strict	strictest
strong	strongest
subtle	subtlest
sunny	sunniest
sweet	sweetest
tall	tallest
tasty	tastiest
tiny	tiniest
tired	tiredest
tricky	trickiest
ugly	ugliest
vague	vaguest
vast	vastest
weak	weakest
wealthy	wealthiest
weird	weirdest
