accept	accepts
act	acts
achieve	achieves
admire	admires
add	adds
analyze	analyzes
answer	answers
agree	agrees
allow	allows
appear	appears
apply	applies
ask	asks
avoid	avoids
bake	bakes
balance	balances
become	becomes
believe	believes
behave	behaves
blink	blinks
boil	boils
bounce	bounces
breathe	breathes
call	calls
care	cares
charge	charges
chat	chats
climb	climbs
close	closes
consider	considers
consist	consists
contain	contains
continue	continues
cough	coughs
count	counts
create	creates
cross	crosses
dance	dances
decide	decides
deliver	delivers
depend	depends
describe	describes
develop	develops
divide	divides
drop	drops
dry	dries
end	ends
enable	enables
enjoy	enjoys
ensure	ensures
escape	escapes
examine	examines
exist	exists
explain	explains
feed	feeds
fix	fixes
follow	follows
guess	guesses
handle	handles
happen	happens
hear	hears
help	helps
hope	hopes
identify	identifies
improve	improves
include	includes
involve	involves
join	joins
jump	jumps
laugh	laughs
learn	learns
lift	lifts
maintain	maintains
manages	manages
mark	marks
match	matches
name	names
notice	notices
obey	obeys
occur	occurs
operate	operates
pack	packs
pick	picks
play	plays
prevent	prevents
promote	promotes
protect	protects
provide	provides
receive	receives
reduce	reduces
refer	refers
remain	remains
remember	remembers
represent	represents
require	requires
seem	seems
send	sends
suggest	suggests
tell	tells
understand	understands
utter	utters
