achieve	achieving
add	adding
allow	allowing
appear	appearing
apply	applying
ask	asking
attend	attending
avoid	avoiding
become	becoming
believe	believing
consider	considering
contain	containing
continue	continuing
create	creating
develop	developing
encourage	encouraging
enjoy	enjoying
ensure	ensuring
establish	establishing
exist	existing
expect	expecting
follow	following
happen	happening
identify	identifying
improve	improving
include	including
involve	involving
learn	learning
lose	losing
maintain	maintaining
manage	managing
operate	operating
perform	performing
prevent	preventing
promote	promoting
protect	protecting
provide	providing
receive	receiving
reduce	reducing
refer	referring
remain	remaining
remember	remembering
represent	representing
require	requiring
seem	seeming
sit	sitting
spend	spending
teach	teaching
tell	telling
understand	understanding
update	updating
upload	uploading
use	using
utter	uttering
value	valuing
vary	varying
visit	visiting
wait	waiting
walk	walking
want	wanting
watch	watching
win	winning
wish	wishing
wonder	wondering
work	working
worry	worrying
write	writing
yell	yelling
yield	yielding
zoom	zooming
analyze	analyzing
argue	arguing
arrange	arranging
attempt	attempting
balance	balancing
blame	blaming
boil	boiling
borrow	borrowing
calculate	calculating
cancel	canceling
chat	chatting
clean	cleaning
climb	climbing
compare	comparing
complain	complaining
connect	connecting
count	counting
decide	deciding
deliver	delivering
depend	depending
design	designing
determine	determining
disappear	disappearing
divide	dividing
dress	dressing
escape	escaping
examine	examining
fix 	fixing
gather 	gathering
handle 	handling
