accepting	accepts								
achieving	achieves								
acting	acts								
adding	adds								
admiring	admires								
advising	advises								
agreeing	agrees								
advertising	advertises								
allowing	allows								
analyzing	analyzes								
answering	answers								
appearing	appears								
applying	applies								
arguing	argues								
asking	asks								
assuming	assumes								
attaching	attaches								
attempting	attempts								
becoming	becomes								
believing	believes								
belonging	belongs								
borrowing	borrows								
bringing	brings								
building	builds								
calling	calls								
carrying	carries								
causing	causes								
changing	changes								
choosing	chooses								
cleaning	cleans								
closing	closes								
coming	comes								
comparing	compares								
competing	competes								
completing	completes								
considering	considers								
consisting	consists								
containing	contains								
continuing	continues								
creating	creates								
deciding	decides								
delivering	delivers								
depending	depends								
describing	describes								
designing	designs								
developing	develops								
discovering	discovers								
discussing	discusses								
doing	does								
drawing	draws								
drinking	drinks								
driving	drives								
eating	eats								
encouraging	encourages								
ending	ends								
enabling	enables								
enjoying	enjoys								
entering	enters								
escaping	escapes								
existing	exists								
explaining	explains								
following	follows								considering considers
happening	happens								consisting consists
hearing	hears								containing contains
helping	helps								continuing continues
hoping	hopes								creating creates
improving	improves								depending depends
including	includes								describing describes
increasing	increases								developing develops
influencing	influences								discovering discovers
involving	involves								enabling enables
joining	joins								existing exists
jumping	jumps								explaining explains
keeping	keeps								following follows
knowing	knows								happening happens
learning	learns								hearing hears
leaving	leaves								improving improves
lending	lends								including includes
letting	lets								involving involves
living	lives								learning learns
losing	loses								losing loses
making	makes								managing manages
managing	manages								occurring occurs
meeting	meets								operating operates
moving	moves								performing performs
needing	needs								promoting promotes
offering	offers								providing provides
opening	opens								publishing publishes
occurring	occurs								receiving receives
operating	operates								reducing reduces
performing	performs								referring refers
promoting	promotes								relating relates
providing	provides								remaining remains
publishing	publishes								representing represents
receiving	receives								requiring requires
reducing	reduces								seeming seems
referring	refers								sitting sits
relating	relates								spending spends
remaining	remains								suggesting suggests
representing	represents								teaching teaches
requiring	requires								telling tells
running	runs								thanking thanks
seeming	seems								understanding understands
sitting	sits								
spending	spends								
starting	starts								
staying	stays								
suggesting	suggests								
taking	takes								
teaching	teaches								
telling	tells								
thanking	thanks								
thinking	thinks								
understanding	understands								
using	uses								
waiting	waits								
walking	walks								
wanting	wants								
watching	watches								
winning	wins								
wishing	wishes								
writing	writes								
