accepting	accepted
achieving	achieved
acting	acted
adding	added
agreeing	agreed
allowing	allowed
announcing	announced
answering	answered
appearing	appeared
applying	applied
appointing	appointed
arguing	argued
asking	asked
attaching	attached
attending	attended
attempting	attempted
becoming	became
believing	believed
belonging	belonged
borrowing	borrowed
bringing	brought
building	built
calling	called
carrying	carried
causing	caused
changing	changed
choosing	chose
cleaning	cleaned
closing	closed
coming	came
comparing	compared
competing	competed
completing	completed
considering	considered
consisting	consisted
containing	contained
continuing	continued
creating	created
deciding	decided
delivering	delivered
depending	depended
describing	described
designing	designed
developing	developed
discovering	discovered
discussing	discussed
doing	did
drawing	drew
drinking	drank
driving	drove
eating	ate
encouraging	encouraged
ending	ended
establishing	established
existing	existed
expecting	expected
failing	failed
falling	fell
feeling	felt
finding	found
finishing	finished
forgetting	forgot
following	followed
gaining	gained
getting	got
giving	gave
going	went
growing	grew
happening	happened
hearing	heard
helping	helped
hoping	hoped
improving	improved
including	included
increasing	increased
influencing	influenced
introducing	introduced
involving	involved
joining	joined
jumping	jumped
keeping	kept
knowing	knew
learning	learned
leaving	left
lending	lent
letting	let
living	lived
locating	located
losing	lost
making	made
managing	managed
marrying	married
meeting	met
moving	moved
needing	needed
offering	offered
opening	opened
operating	operated
performing	performed
proposing	proposed
providing	provided
publishing	published
receiving	received
reducing	reduced
relating	related
remaining	remained
replacing	replaced
representing	represented
requiring	required
running	ran
sending	sent
spending	spent
starting	started
staying	stayed
suggesting	suggested
suffering	suffered
taking	took
teaching	taught
telling	told
thanking	thanked
thinking	thought
understanding	understood
uniting	united
using	used
waiting	waited
walking	walked
wanting	wanted
watching	watched
winning	won
wishing	wished
writing	wrote
