accepts	accepted
achieves	achieved
adds	added
admits	admitted
advises	advised
agrees	agreed
allows	allowed
announces	announced
appears	appeared
applies	applied
appoints	appointed
asks	asked
avoids	avoided
becomes	became
begins	began
believes	believed
breaks	broke
brings	brought
builds	built
buys	bought
calls	called
carries	carried
changes	changed
chooses	chose
closes	closed
comes	came
compares	compared
considers	considered
consists	consisted
contains	contained
continues	continued
contributes	contributed
creates	created
decides	decided
describes	described
develops	developed
discusses	discussed
displays	displayed
eats	ate
establishes	established
expects	expected
explains	explained
fails	failed
feels	felt
finds	found
follows	followed
gets	got
gives	gave
goes	went
grows	grew
happens	happened
hears	heard
helps	helped
hopes	hoped
includes	included
intends	intended
introduces	introduced
involves	involved
joins	joined
keeps	kept
knows	knew
learns	learned
leaves	left
lives	lived
locates	located
looks	looked
loses	lost
makes	made
manages	managed
marries	married
meets	met
moves	moved
needs	needed
occurs	occurred
offers	offered
opens	opened
operates	operated
pays	paid
performs	performed
plans	planned
prepares	prepared
proposes	proposed
provides	provided
publishes	published
reads	read
receives	received
refers	referred
relates	related
remains	remained
replaces	replaced
represents	represented
requires	required
returns	returned
runs	ran
saves	saved
seems	seemed
sends	sent
shows	showed
spends	spent
starts	started
suggests	suggested
supports	supported
takes	took
tells	told
thinks	thought
tries	tried
understands	understood
uses	used
waits	waited
walks	walked
wants	wanted
watches	watched
wins	won
writes	wrote
