airplane	jet/airliner/fighter_jet/private_jet/commercial_aircraft/biplane/monoplane/helicopter/glider/propeller_plane/ultralight_plane
alarm	clock_alarm/fire_alarm/burglar_alarm/smoke_alarm/car_alarm/temperature_alarm/door_alarm/alert_system
apple	green_apple/red_apple/golden_delicious/honeycrisp/granny_smith/empire/fuji/pink_lady/royal_gala/amber_rose
appliance	refrigerator/washing_machine/dryer/microwave/oven/toaster/blender/coffee_maker/air_conditioner/vacuum_cleaner
aquarium	fish_tank/saltwater_aquarium/freshwater_aquarium/marine_aquarium/reef_tank/aquatic_habitat
artist	painter/sculptor/illustrator/musician/photographer/actor/dancer/writer/performer/craftsman
asphalt	blacktop/bitumen/tar/paving_material/road_surface/driveway_material/parking_lot_surface
backpack	daypack/kitbag/kit_bag
bag	pouch/backpack/knapsack/packsack/rucksack/haversack/beanbag/bladder/pouch/carryall/holdall/tote/tote/drawstring/dust/vacuum/envelope/gasbag/gamebag/golf/gunnysack/gunny/burlap/ice/mailbag/postbag/nosebag/feedbag/pannier/plastic/purse/ragbag/rosin/sachet/sack/poke/paper/carrier/saddlebag/sandbag/schoolbag/shopping/sick_bag/sickbag/skin/sleeping/sweat/tea/toilet/sponge/tool/tucker-bag
bed	bunk/berth/built/built-in/bunk/cot/camp/couch/deathbed/double/four-poster/hammock/sack/marriage_bed/murphy/plank-bed/platform/sickbed/single_bed/sleigh/trundle/truckle/truckle/twin/water/semi-double/semidouble
bicycle	mountain_bike/road_bike/hybrid_bike/electric_bike/folding_bike/racing_bike/cruiser_bike/city_bike
boat	ferry/ark/barge/flatboat/hoy/lighter/bumboat/canal_boat/narrow_boat/narrowboat/ferryboat/fireboat/gondola/guard_boat/gunboat/junk/longboat/lugger/mackinaw/mackinaw/mailboat/mail/packet/packet/motorboat/powerboat/pilot/police/punt/river_boat/scow/sea_boat/small_boat/steamboat/surfboat/tender_boat/pinnace/cutter_boat/tugboat/tug/towboat/tower_boat/motorboat/yacht/sail/row/canoe/kayak/paddle/paddle_boat
