anchor	metal/iron/steel
apple	flesh/skin/seeds
arrow	wood/metal/feather
atmosphere	gas/oxygen/hydrogen/nitrogen/ozone
axe	metal/wood
bag	leather/fabric/plastic
ball	latex/rubber/leather
banana	flesh/peel
battery	metal/chemical/electrolyte/plastic
beach	sand/silicon/rocks/pebbles/atomic_number_14/si
beard	hair
bell	metal/bronze/steel/wood
bench	wood/metal
bicycle	metal/rubber/plastic
body	flesh/bones
book	paper/ink/cover
boots	leather/canvas
bottle	glass/plastic
bowl	glass/china/aluminium/wood/steel/plastic/clay
box	cardboard/tin/boxwood/turkish_boxwood
bread	flour/yeast
bridge	concrete/steel/wood
bronze	copper/tin/cu/atomic_number_29
candle	wax/wick
candy	sugar/nougat/chocolate/gelatin/molasses/syrup/honey/fruit/nuts
car	metal/plastic/rubber/glass/leather
carpet	fabric/wool/cotton
chair	wood/metal/plastic
chocolate	cocoa/bean/cacao/cacao_bean/cocoa_bean
clock	metal/plastic/glass
clothing	fabric/leather
cloud	vapor/water/vapour/water_vapour/water_vapor
cocktail	alcohol/juice/water
comb	plastic/wood
computer	plastic/metal
concrete	silicon/cement/water/sand/atomic_number_14/si
cup	ceramic/glass/metal/porcelain
desk	wood/metal/steel
diamond	carbon
doorknob	metal/steel/bronze/wood
drum	wood/metal/animal_skin
fan	plastic/metal/steel/aluminium/wood/bamboo
feather	keratin/quill/shaft/vane/barb/barbules
fire	heat/light/flame/smoke/gases/ash
flag	fabric/paper
flower	petals/sepal/stamen/pistil/ovary/ovules/pollen
fork	metal/stainless_steel/silver/plastic/wood/bamboo/aluminium
glacier	ice/water/oxygen/hydrogen/h/h2o/atomic_number_8/atomic_number_1/o/water_ice
glass	silicone
guitar	wood/metal/plastic/nylon/steel/carbon_fiber
hammer	wood/steel/iron/fiberglass/rubber/plastic
hat	wool/cotton/felt/leather/straw/plastic/synthetic_fiber
house	bricks/cement/wood/clay
ice	water/oxygen/hydrogen/water/h2o/atomic_number_1/atomic_number_8/h/o
icicle	ice/water
jam	fruit/sugar/berries
jar	glass/plastic/ceramic/metal/steel/aluminium/clay
jeans	fabric/denim
keyboard	keyboard plastic/metal/aluminium/rubber/silicone/wood
lamp	metal/glass/plastic/ceramic/wood/fabric/aluminium
lawn	grass
leaf	cellulose/chlorophyll/water/veins/cuticle/stomata
lens	glass/plastic
lock	metal/brass/steel/aluminium/plastic
map	paper/plastic/cloth/vinyl/parchment
mat	rubber/plastic/fabric/coir/jute/wool/nylon/foam
mirror	glass/bronze
money	paper/metal/silver/gold/iron/copper/tin
needle	steel/iron/stainless_steel/aluminium/plastic/gold
ocean	water
omelette	eggs/egg/milk/cheese
painting	canvas/paper/wood/cloth/plaster/metal/oil_paint/acrylic_paint/watercolor_paint
pastry	flour/egg/butter/filling
pen	plastic/metal/wood/stainless_steel/aluminium/rubber/silicone
pencil	wood/graphite/clay/plastic/metal_ferrule/rubber
penny	metal/alloy/bronze/nickel/zinc/copper/tin
phone	glass/plastic/aluminium/steel/copper/lithium/silicon/silicone/rubber
pill	medicine/drug
plastic	polymer/oil/gas/coal
plate	glass/ceramic/porcelain/metal/stainless_steel/aluminium/plastic/wood/clay
pocket	cotton/denim/linen/wool/synthetic_leather/polyester/nylon
radio	plastic/metal/wood/aluminium/copper/glass/rubber
refrigerator	steel/stainless_steel/aluminium/plastic/glass/rubber/copper/insulation_foam
ring	gold/silver/platinum/steel/titanium/bronze/copper/plastic/wood/diamond/pearl/ruby/emerald/sapphire
roof	shingles/tiles/wood/metal
rope	cotton/jute/hemp/sisal/coir/nylon/polyester/steel
scissors	steel_blade/stainless_steel_blade/aluminium_blade/plastic_handle/rubber_grip/wood_handle
sea	water
shirt	cotton/linen/wool/silk/polyester/nylon/rayon/fabric_blend
shoe	leather/canvas/rubber/plastic/nylon/suede/textile/foam
snow	water/oxygen/hydrogen/flake/ice/snowflake/snowflakes/h2o/atomic_number_1/atomic_number_8/h/o
sofa	wood/metal/steel/aluminium/leather/fabric/linen/cotton/foam/rubber
spoon	aluminium/wood/steel
steel	iron/pearlite/carbon/cementite/ferrite/iron_carbide/fe/atomic_number_26/alpha_iron
stone	granite/marble/limestone/slate/sandstone/basalt/quartz/feldspar/mica/calcite
table	wood/metal/plastic
television	plastic/glass/aluminium/steel/copper/silicone/rubber
tree	cellulose/lignin/hemicellulose/water/minerals
umbrella	steel/aluminium/fiberglass/plastic/nylon/polyester/rubber/wood
vase	glass/ceramic/porcelain
wall	cement/bricks/stones/rocks/wood/cardboard/board/plank/clay/mud
water	oxygen/hydrogen/water/h2o/atomic_number_1/atomic_number_8/h/o
wig	hair
wine	grapes/grape
wire	metal
yogurt	milk
