 building	complex
acrobat	troupe
act	play
antelope	herd
bat	cauldron/cloud/colony
bear	sleuth/sloth
bee	swarm/hive/colony/drift/cast/nest/rabble/stand
bird	flock
book	library/shelf/collection/accounting/accounting_system/method_of_accounting
butterfly	kaleidoscope
calf	cattle/herd
camel	caravan
car	train/procession
cat	clowder/glaring/clutter/pounce
cattle	herd
chapter	book
christian	congregation/church/parish
citizen	citizenry/country/state
city	metropolis/urban_area/megalopolis
college	university
committee	board/council/panel
county	state/country
cow	herd
coyote	pack/band
crow	murder
deer	herd/bunch/parcel
division	company/business/platoon/battle_group
document	archive/file/cache
dog	pack/kennel
dolphin	pod
dragonfly	cluster/swarm
duck	raft/flock/brood
eagle	convocation/soar
elephant	herd
employee	staff/company
episode	series/season
falcon	cast/soar/tower
fish	school
flamingo	flamboyance/stand/colony
flower	bouquet/bunch
fox	skulk/leash
frog	army
galaxy	universe
giraffe	tower
goat	tribe/herd
goose	gaggle
hawk	cast/kettle/boil
hippopotamus	bloat
honeybee	swarm/colony
horse	team/herd
island	archipelago
jellyfish	smack/bloom
juror	jury
kangaroo	mob
kitten	litter
lecture	series/seminar/course/program
leopard	leap
letter	alphabet
lion	pride
listener	audience
lobster	pod/risk
member	club/team/group/band/community
monkey	troop/barrel/cartload/tribe
moose	herd
mountain	range
musician	orchestra/band
nomad	horde
owl	parliament/wisdom/congress
ox	herd/team/drove
page	book/notebook/website/web-site
parishioner	parish/church
peasant	peasantry
penguin	huddle/raft/waddle
person	society/company/party/world
photo	album/collection/library
pigeon	 flock/kit
planet	planetary_system
player	team/group/orchestra
poem	anthology
policeman	police
rabbit	colony
rhinoceros 	crash
secretary	staff
senator	senate/house
shark	shiver
sheep	flock
shrub	shrubbery
singer	choir/band/duo/trio/quartet
soldier	army/unit/division/troop
song	album/collection/antology/library
spouse	couple/relationship/family
star	constellation/galaxy
state	country/province
state 	country
student	class/school
students	batch/class
swan	bevy/flock
tiger 	streak/ambush
tree	forest/wood/grove
wolf	pack
word	paragraph/sentence/text
