academia	college/university/institute
airplane	fuselage/wing/tail/cockpit/engine/propeller/landing_gear/rudder/aileron/nose
anchor	fluke/stock/shank/crown/arm/ring/chain/rode/stock_pin/spike
apartment	bedroom/room/bathroom/kitchen/kitchenette/living_room/pantry/toilet/shower_room
barn	roof/door/wall/foundation/loft/stall/silo/beam/truss/aisle
barrel	stave/hoop/head/bung/shoulder/butt/hoop_ring/bilge/end
bed	frame/headboard/footboard/mattress/box_spring/slats/leg/rail/pillow/blanket
bench	seat/backrest/leg/support/slat/armrest/crossbar/frame/footrest/base
bicycle	frame/handlebar/saddle/wheel/pedal/chain/brake/gear/fork/rim
bird	feathers/plume/preen/croup/calamus/fowl/drumstick/syrinx/bill/rump/vane/barb/quill/shaft/pecker/pennon/feet/giblets/alula/talon/foot/pinion/wing/wishbone/nib/sac/giblet/furcula/bird/neb/feather/gland/oyster/thigh/plumage/web/hindquarters/beak/parson's_nose/wishing_bone/pope's_nose/spurious_wing/bastard_wing/croupe/air_sac/quill_feather/uropygium/bird's_foot/uropygial/second_joint/uropygial_gland/preen_gland/flight_feather/dark_meat
book	cover/page/spine/binding/chapter/illustration/index/table_of_contents/footnote/margin
bottle	finish/neck/shoulder/body/label_panel/heel/base/sealing_surface/thread/bead
bowl	rim/lip/body/hollow/side_wall/bottom/foot/glaze/exterior_surface/interior_surface
bridge	foundation/abutment/pier/deck/girder/beam/bearing/railing/expansion_joint/span
brush	bristle/hold/shank/grip/handgrip/handle/head/stem
building	foundation/plinth/floor/wall/column/beam/roof/steel_frame/concrete_structure/cement/timber
bus	seats/conductor/window/driver/roof
byte	bit
cabinet	box/door/drawer/shelf/face_frame/hinge/kick_board/side_panel/back_panel/handle
camera	lens/sensor/shutter/button/viewfinder/flash/body/mode_dial/tripod_mount/memory_card_slot
canoe	bow/stern/hull/gunwale/thwart/seat/keel/deck/handle/paint_line/yoke
