able	unable/incapable/incompetent/unequal
abnormal	normal/typical/regular/conventional/standard/ordinary/expected/common/usual
abundant	scarce/rare/tight/meager/meagre/meagerly/stingy/scrimpy/insufficient/deficient
aware	unaware/oblivious/unmindful/unconscious/unsuspecting/asleep/insensible/unconscious/unwitting/ignorant/indifferent/oblivious
beautiful	ugly/disfigured/evil-looking/fugly/grotesque/monstrous/hideous/repulsive/ill-favored/ill-favoured/scrofulous/unlovely/unpicturesque/unsightly/displeasing/unattractive/awkward
big	small/atomic/subatomic/bantam/diminutive/lilliputian/midget/petite/tiny/flyspeck/bitty/bittie/teensy/teentsy/teeny/wee/weeny/weensy/teensy-weensy/teeny-weeny/itty-bitty/itsy-bitsy/dinky/dwarfish/elfin/elflike/gnomish/half-size/infinitesimal/minute/lesser/microscopic/microscopical/micro/miniature/minuscule/miniscule/olive-sized/pocket-size/pocket-sized/pocketable/puny/runty/shrimpy/slender/slim/smaller/littler/smallish/small-scale/undersize/undersized
black	white/light/fair/pale/clear/colorless/milky/pearly
bland	spicy/flavorful/zesty/seasoned/tasty/savory/strong_flavored/piquant/zingy/sharp
boring	interesting/fascinating/exciting/engaging/captivating/enthralling/amusing/wonderful/alluring/vibrant/lively/invigorating
bright	pale/colorless/colourless/dull/neutral/pale/white/bleached/faded/washed-out/washy/drab/somber/sombre/dulled/greyed/etiolate/etiolated/lurid/waxen/waxlike/waxy/whitened
cheap	expensive/big-ticket/high-ticket/costly/dear/high-priced/pricey/pricy/dearly-won/overpriced/valuable
clean	dirty/soiled/unclean/augean/bedraggled/draggled/befouled/fouled/begrimed/dingy/grimy/grubby/grungy/raunchy/black/smutty/buggy/cobwebby/dirty-faced/feculent/filthy/foul/nasty/flyblown/squalid/sordid/greasy/oily/lousy/maculate/mucky/muddy/ratty/scummy/smudgy/snotty/snot-nosed/sooty/travel-soiled/travel-stained/uncleanly/unswept/unwashed
clear	vague/obscure/unclear/undefined/indefinable/undefinable
close	distant/remote/removed/far/faraway/
cloudy	clear/bright/sunny/unclouded/lucid/transparent/luminous
cold	hot/warm//fiery/heated/boiling/torrid/scorching/blazing/scalding
colorful	colorless/colourless/dull/neutral/pale/white/bleached/faded/washed-out/washy/drab/somber/sombre/dulled/greyed/etiolate/etiolated/lurid/waxen/waxlike/waxy/whitened
common	rare/infrequent/scarce/uncommon/extraordinary
competent	incompetent/unskilled/unqualified/inefficient/unqualified/unskilled
complex	simple/easy/straightforward/clear/basic/elementary/uncomplicated/unsophisticated/rudimental/plain
concerned	unconcerned/blase/blithe/casual/insouciant/nonchalant/degage/detached/uninvolved/indifferent/careless/uninvolved/untroubled
cooked	raw/half-baked/fresh/natural/underdone/rare/uncooked/untoasted
dangerous	safe/fail-safe/risk-free/riskless/unhazardous/safe-and-sound/unhurt/harmless/invulnerable/secure/uninjured
decisive	hesitating/indecisive/hesitant/inconclusive/irresolute
dirty	clean/spotless/pristine/hygienic/immaculate/sanitized/washable/speckless/washed/sanitized
disorganized	organized/structured/systematic/arranged/ordered/efficient/tidy/planned/orderly
distant	close/near/adjacent/neighboring/proximate/immediate/nearby
drab	bright/vivid/shiny/lustrous/radiant/colorful/gleaming/cheerful/lively/attractive
dry	wet/bedewed/dewy/besprent/boggy/marshy/miry/mucky/muddy/quaggy/sloppy/sloughy/soggy/squashy/swampy/waterlogged/clammy/dank/damp/dampish/moist/sodden/soppy/drippy/drizzly/humid/misty/muggy/steamy/sticky/reeking/watery/rheumy/showery/rainy/steaming/tacky/undried/washed
dull	bright/vivid/shiny/lustrous/radiant/colorful/gleaming/cheerful/lively/attractive
empty	full/packed/loaded/occupied/stuffed/crammed/laden/stacked/congested/crowded/overflowing/profuse
energetic	lethargic/unergetic/dazed/foggy/groggy/logy/stuporous/dreamy/lackadaisical/languid/languorous/listless/inactive
expensive	cheap/inexpensive/affordable/reasonable/budget/low_cost/economical
extrovert	introvert/withdrawn/reserved/shy/quiet/reflective/pensive
familiar	unfamiliar/strange/unknown/unacquainted/unacquainted/foreign/strange/unknown
fast	slow/sluggish/languid/lethargic/gradual/unhurried/delaying/plodding/dawdling
fat	thin/lean/anorexic/anorectic/bony/cadaverous/emaciated/gaunt/haggard/pinched/skeletal/wasted/deep-eyed/hollow-eyed/sunken-eyed/gangling/gangly/lanky/lank/spindly/rawboned/reedy/reedlike/twiggy/twiglike/scarecrowish/scraggy/boney/scrawny/skinny/underweight/weedy/shriveled/shrivelled/shrunken/withered/wizen/wizened/slender/slight/slim/svelte/slender-waisted/slim-waisted/wasp-waisted/spare/trim/spindle-legged/spindle-shanked/stringy/wiry/wisplike/wispy
full	empty/bare/stripped/blank/clean/white/empty-handed/glassy/glazed/lifeless/looted/pillaged/plundered/ransacked/vacant/vacuous/void
gaseous	solid/hard/coagulated/solidified/concrete/congealed/jelled/jellied/dry/semisolid/solid-state
generous	stingy/beggarly/mean/cheap/chinchy/chintzy/cheeseparing/close/near/penny-pinching/skinny/closefisted/hardfisted/tightfisted/grudging/niggardly/scrimy/mingy/miserly/tight/parsimonious/penurious/selfish/uncharitable/ungenerous/meanspirited
greedy	generous/charitable/unselfish/benevolent/kind/selfless/abstaining
happy	sad/bittersweet/doleful/mournful/heavyhearted/melancholy/melancholic/pensive/wistful/tragic/tragical/tragicomic/tragicomical/deplorable/distressing/lamentable/pitiful/sorry
hard	soft/mellow/brushed/fleecy/napped/cheeselike/compressible/squeezable/cottony/cushioned/cushiony/padded/demulcent/emollient/salving/softening/downy/downlike/flossy/fluffy/flaccid/flocculent/woolly/wooly/yielding/mushy/overstuffed/softish/semisoft/spongy/squashy/squishy/spongelike/velvet/velvety
healthy	unhealthy/sick/ill/weak/fragile/debilitated/feeble/ailing
heavy	light/weightless/airy/faint/featherlike/insubstantial
hot	cold/chilly/frosty/cool/frigid
incapable	competent/able/skilled/proficient/capable/expert/adept/effective/capacious/accomplished/talented/qualified/powerful/efficient/masterful/fit/strong/experienced
incompetent	competent/able/skilled/proficient/capable/expert/adept/effective/capacious/accomplished/talented/qualified/powerful/efficient/masterful/fit/strong/experienced
indecisive	decisive/resolute/firm/certain/definite/determined/focussed/conclusive/clear_minded/confident/sure/purposeful
indifferent	concerned/attentive/aware/involved/caring/mindful/keen/enthusiastic/lively/eager/ardent
insane	sane/rational/healthy/clear_minded/rationall/sensible/normal/stable/lucid/fit
insincere	sincere/genuine/authentic/honest/real/true/wholehearted/faithful/truthful/trustworthy/frank
interesting	uninteresting/dull/boring/deadening/ho-hum/irksome/slow/tedious/tiresome/wearisome/insipid/jejune/narcotic/soporiferous/soporific/prosaic/prosy/earthbound/ponderous/putdownable/unexciting/unstimulating
introvert	extravert/extrovert/outgoing/extroverted/forthcoming/sociable
large	small/little/atomic/subatomic/bantam/diminutive/lilliputian/midget/petite/tiny/flyspeck/bitty/bittie/teensy/teentsy/teeny/wee/weeny/weensy/teensy-weensy/teeny-weeny/itty-bitty/itsy-bitsy/dinky/dwarfish/elfin/elflike/gnomish/half-size/infinitesimal/minute/lesser/microscopic/microscopical/micro/miniature/minuscule/miniscule/olive-sized/pocket-size/pocket-sized/pocketable/puny/runty/shrimpy/slender/slim/smaller/littler/smallish/small-scale/undersize/undersized
lazy	energetic/active/vigorous/lively/alert/dynamic/diligent/industrious/zealous/tireless/unrelenting/hardworking/motivated
long	short/abbreviated/shortened/truncated/brief/clipped/fleeting/fugitive/momentaneous/momentary/short_and_sweet/short-dated/short-range/short-run/short-term/abbreviated/brief/close/curtal/sawed-off/sawn-off/shortened/shortish/short-range/short-snouted/snub/stubby/telescoped/truncate/truncated/chunky/dumpy/low-set/squat/squatty/stumpy/compact/heavyset/stocky/thick/thickset/half-length/pint-size/pint-sized/runty/sawed-off/sawn-off/short-stalked/squab/squabby
loose	tight/firm/secure/snug/fitted/compact/tense/rigid/snug/tighetened/sturdy
lumpy	flat/level/plane/even/
narrow	wide/broad/spacious/expansive/roomy/large/ample/vast/outspread/extended
noisy	silent/uncommunicative/dumb/mute/inarticulate/unarticulate
normal	abnormal/aberrant/deviant/deviate/anomalous/antidromic/atypical/irregular/brachydactylic/brachydactylous/defective/freakish/kinky/perverted/subnormal/supernormal/vicarious/unusual/exceptional/insane/unnatural
old	young/new/fresh/recent/modern/immature/youthful/novel/juvenile/junior/minor
organized	unorganized/unstructured/uncoordinated/unformed/unincorporated
pale	tanned/bronzed/suntanned/brunet/brunette
poor	wealthy/rich/affluent/prosperous/wealthy/financially_secure/well_off
quiet	noisy/loud/boisterous/clamorous/raucous/deafening/clattering/earsplitting/tumultuous/shrill
rare	common/frequent/abundant/plentiful/numerous/widespread
rich	poor/broke/bust/skint/stone-broke/stony-broke/destitute/impoverished/indigent/necessitous/needy/poverty-stricken/hard_up/impecunious/penniless/penurious/pinched/moneyless/unprovided
rough	smooth/sleek/soft/gentle/polished/consistent/steady/flat/even
sad	happy/joyful/joyous/cheerful/content/pleased/elated/euphoric/jolly/gleeful/lively/merry/radiant
safe	dangerous/hazardous/perilous/risky/unsafe/insecure/unprotected/vulnerable/harmful
sane	crazy/loony/looney/nutcase/weirdo/mad/insane
scarce	abundant/plentiful/numerous/copious/frequent/common/plenty/countless
sharp	dull/blunt/flat/rounded/soft/slow/unsharp/stupid/dumb/foolish
short	tall/gangling/gangly/lanky/rangy/height/leggy/long-legged/long-shanked/tall-growing/long/long-stalked/tall-stalked/stately/statuesque/tallish
simple	difficult/challenging/hard/complicated/demanding/daunting/taxing
sincere	insincere/bootlicking/fawning/obsequious/sycophantic/toadyish/buttery/fulsome/oily/oleaginous/smarmy/soapy/unctuous/dissimulative/false/feigned/gilded/meretricious/specious/hypocritical/plausible/counterfeit/imitative/dishonest/dishonorable/disingenuous/artful/false/unreal
skinny	fat/plump/overweight/chubby/obese/gross/stout/massive/ gigantic/heftyfatty/fleshy
