above	below/underneath/under
accept	reject/refuse/deny
advance	retreat/decline/regress
after	before/earlier/previously
ahead	behind/rear/after/tail/beforehand
alive	dead
anterior	posterior
arrive	depart/leave
ascend	descend
attain	lose/fail
back	front/forward
backward	forward/forwards/frontward/frontwards/forrad/forrard/forth/onward
before	after/subsequently/later/afterwards/afterward/ahead
begin	end/finish
beginning	end/terminal/ending/last/final/finish/finale/conclusion
below	above/higher/up
beneath	above
benevolent	malevolent
birth	death
boost	reduce
calm	agitated
clear	unclear
climb	descend/declivitous/downhill/downward-sloping/degressive/descendant/descendent/down/downward/downward-arching/drizzling/dropping/falling/raining
close	open
come	go
connect	disconnect/separate
continue	stop/cease
convex	concave
correct	incorrect
create	destroy
day	night
daylight	darkness
dead	alive/living/live
decrease	increase
decrement	increment
deep	shallow
departure	arrival
descend	ascend/climb/rise/upward/ascendent/ascendant
dive	emerge
down	up/above/ahead/lead/leading/aweigh/dormie/dormy/heavenward/skyward/risen/sprouted/upbound/upfield/upward
downslope	upslope/ascent
drop	lift/pick_up
dynamic	static/still/unmoving/unchanging
employ	dismiss/fire/sack/displace/terminate
enter	exit
exit	entrance/entranceway/entryway/entry/entree
expand	contract
fall	rise/upward/climb
fast	slow
finish	start/begin
first	last/end/terminal/ending/final/finish/finale/conclusion
foolish	wise/sensible
forget	remember/retrieve/recall/call_back/call_up/recollect
forward	backward/back/backwards/rearward/rearwards
front	back/rear/forepart
gain	lose
go	stay
good	bad
gradual	abrupt/quick
happy	sad/unhappy
high	low
hold	release
in	out/outer/exterior/outside
inbound	outbound
increase	decrease
inhale	exhale
input	output
inside	outside/exterior/out
interior	exterior/outdoor/out-of-door/outside
internal	external/outer/outside
inverse	reverse/reversion/reversal/turnabout/turnaround
join	separate
journey	stay
known	unknown
lead	follow
left	right
long	short
low	high
mortal	immortal
move	stay
night	day
north	south
occupied	vacant/free
off	on
open	close
out	in/inside
outward	upward/up/upwards
over	under/below/beneath
previously	subsequently/later/afterwards/afterward/after/subsequent
proceed	retreat/return
rise	sink/drop/fall
south	north
southeast	southwest/northeast
start	end
submerge	emerge
succeed	fail
top	bottom/underside/undersurface
toward	away/off/forth/aside
true	false/incorrect/wrong/mistaken
under	over/above/up
up	down/downwards/downward/downwardly
uphill	downhill/decline/fall/declivitous/downward-sloping
west	east
